-1	300	280	260	240	220	200	180	160	140	120	100	80	60	40	20	0
440	54	60	68	70	52	56	64	60	63	56	58	58	50	44	34	4
420	68	67	69	73	66	62	64	62	67	74	61	68	67	53	31	6
400	69	68	70	64	71	71	65	73	72	71	77	76	66	54	33	6
380	71	77	71	84	69	79	78	75	83	70	82	76	71	67	28	11
360	77	80	79	82	82	87	80	80	71	84	82	76	76	72	36	13
340	72	82	86	92	80	81	87	88	71	79	80	78	76	75	39	5
320	71	84	93	83	88	82	76	83	89	77	82	82	78	68	47	12
300	74	77	82	81	85	88	80	86	86	82	84	79	75	72	45	11
280	80	85	85	86	72	91	85	85	85	87	81	77	72	64	35	9
260	84	84	85	86	88	76	85	76	85	88	84	87	73	65	44	5
240	76	84	78	82	85	86	81	88	77	84	88	84	74	71	45	6
220	85	79	87	86	81	82	77	77	85	86	87	81	72	76	38	11
200	77	84	82	75	80	82	85	85	88	93	75	79	84	63	35	7
180	75	73	79	92	79	83	83	81	92	86	83	84	75	72	34	9
160	76	84	83	87	78	80	80	88	87	85	84	89	80	63	47	4
140	71	81	84	87	85	85	78	77	81	80	82	82	80	78	39	7
120	73	78	84	88	81	89	84	75	87	86	87	82	77	68	48	12
100	78	81	84	81	87	79	86	82	88	81	83	83	81	67	46	8
80	75	81	85	77	85	79	77	81	82	81	84	86	74	63	44	10
60	68	72	73	80	86	79	82	87	82	78	81	83	62	69	40	7
40	73	73	76	77	79	68	73	73	72	67	77	74	66	54	39	6
20	26	32	30	32	24	34	36	28	35	30	36	27	19	18	18	5
0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
