-1	70	66.3157894736842	62.6315789473684	58.9473684210526	55.2631578947368	51.5789473684211	47.8947368421053	44.2105263157895	40.5263157894737	36.8421052631579	33.1578947368421	29.4736842105263	25.7894736842105	22.1052631578947	18.4210526315789	14.7368421052632	11.0526315789474	7.36842105263158	3.68421052631579	0
250	100	90	80	70	80	80	60	70	80	50	80	80	80	100	70	70	70	30	20	0
240	80	90	70	90	100	70	100	60	100	80	100	70	70	80	80	60	60	50	40	20
230	90	90	90	100	90	80	70	100	90	90	80	80	60	90	90	100	70	50	60	20
220	90	100	80	80	90	90	100	70	80	90	90	90	70	70	80	90	70	50	10	20
210	100	90	100	90	80	100	90	100	90	80	100	70	100	80	90	70	60	40	20	20
200	100	80	90	90	80	80	70	100	80	100	100	90	70	80	90	70	90	50	30	10
190	100	90	80	90	90	50	90	80	90	90	60	100	100	90	80	80	80	40	10	10
180	90	70	70	90	80	80	100	80	80	80	80	70	80	90	80	80	70	50	0	40
170	80	80	90	90	100	80	70	90	80	90	100	60	70	100	80	80	60	50	60	30
160	80	70	90	100	90	80	70	80	100	70	70	80	90	90	80	70	60	50	30	50
150	90	60	70	100	90	100	90	100	90	80	80	100	100	80	100	80	70	70	30	20
140	80	80	90	80	90	90	100	100	80	90	70	90	70	100	90	80	60	20	30	20
130	70	90	90	70	90	90	100	80	100	70	100	80	90	70	100	70	80	70	10	10
120	100	90	90	100	80	80	100	40	80	90	100	100	100	100	70	70	100	50	20	30
110	100	80	90	80	90	100	80	80	90	80	80	50	90	80	70	80	80	50	40	10
100	90	90	80	90	80	80	90	90	70	80	90	80	70	90	100	80	30	60	40	10
90	90	100	100	90	80	100	90	70	100	100	100	60	100	90	90	80	60	40	20	20
80	80	60	80	100	100	100	100	70	90	90	70	80	80	80	90	80	60	50	20	10
70	100	100	90	90	80	80	80	80	90	90	70	90	90	80	90	90	60	60	20	40
60	70	90	90	90	100	80	90	90	90	90	90	80	90	80	100	100	80	60	40	40

