-1	70	66.32	62.63	58.95	55.26	51.58	47.89	44.21	40.53	36.84	33.16	29.47	25.79	22.11	18.42	14.74	11.05	7.37	3.68	0
250	100	99	97	98	100	100	100	99	100	98	98	99	99	94	88	73	57	48	18	10
240	100	99	99	99	100	99	99	99	100	100	100	98	97	92	93	76	71	41	26	21
230	100	98	99	99	98	100	100	100	98	97	98	96	95	92	90	82	65	42	25	19
220	99	100	100	99	99	99	100	98	98	100	99	98	98	92	88	75	54	40	30	17
210	100	99	98	99	100	100	99	99	99	99	98	99	97	93	90	84	74	46	21	14
200	99	100	100	99	99	99	99	100	98	98	100	95	98	91	84	85	69	43	23	17
190	98	100	98	99	100	100	100	99	99	100	100	99	94	92	91	84	63	46	19	16
180	97	98	99	98	99	99	96	100	98	98	100	97	96	94	87	85	64	44	16	16
170	97	99	99	100	100	98	99	100	100	98	100	100	93	89	94	81	63	47	23	18
160	98	100	99	99	99	100	100	96	97	99	98	94	95	88	90	82	67	49	25	13
150	99	96	98	100	97	99	99	100	100	99	97	97	98	94	89	79	74	38	23	19
140	99	97	99	100	99	99	99	98	100	96	100	99	97	96	92	77	70	45	23	14
130	98	98	99	99	99	97	97	99	98	99	98	95	97	97	90	85	65	49	22	20
120	98	99	98	99	99	95	98	100	98	98	100	98	97	92	87	81	62	43	24	11
110	99	98	98	98	99	98	100	98	99	97	98	98	97	95	91	82	71	42	24	13
100	100	100	99	98	98	100	97	99	97	97	99	99	96	90	90	77	61	41	20	16
90	97	98	99	100	98	98	95	98	99	99	100	98	97	96	87	83	63	36	22	21
80	100	99	98	100	99	99	97	96	99	100	99	98	99	92	89	81	64	47	32	16
70	100	99	99	97	97	98	99	99	100	97	98	99	98	90	93	84	61	48	21	20
60	99	98	98	97	99	98	98	99	97	99	97	99	97	97	87	79	71	41	26	11
